id,species,genotype,site,subsystem,tank,rack,qty,size
4096c23c-61ae-4a24-9a6d-85653eb94c96,CN,CN54,Mote Summerland,All Summerland,F8,R1504,8,0.75
bd57d7ea-4daf-48c7-b433-51a6efa3bd74,ASTREOIDES,PA63,Mote Summerland,All Summerland,G3,R1349,8,
ccf6b21f-9dca-4976-b828-3201e732c7f9,ASTREOIDES,PA25,Mote Summerland,All Summerland,G3,R1349,8,1
6152909b-4221-401d-94db-2ed971393714,MC,MC102,Mote Summerland,All Summerland,E5,R1449,8,0.75
28f6e441-1d68-497d-bcf8-ce6efc969d64,OF,OF1,Mote Summerland,All Summerland,E3,R938,8,0.25
160c5660-8c4d-4429-b394-cad3b0e49cc2,DL,DL140,Mote Summerland,All Summerland,E3,R1312,8,0.25
7417e238-9800-4402-9e0d-20e561255929,DL,DL273,Mote Islamorada,,G8,R94,8,0
95554161-ad14-4f1a-910c-3e3031e58ab2,RADIANS,SR501,Mote Islamorada,,G16,R239,8,0.75
7ef73e0d-79f2-46a2-a703-14dcc94d031d,RADIANS,SR407,Mote Islamorada,,G16,R116,8,0.75
8956b87e-a2ec-4031-8559-4775fa2fa828,OF,OF843,Mote Key Largo,,G20,R219,8,0.25
d357948e-d341-48b5-b4af-60103d91ee3c,OF,OF931,Mote Islamorada,,G2,R83,8,0
9dc3fb71-3989-49e6-bc60-39e1e9a7654a,RADIANS,SR461,Mote Islamorada,,G15,R27,8,0
dbe0dd6a-168c-46f4-81c6-935800251e15,SIDEREA,SS438,Mote Summerland,All Summerland,C4,R1522,8,0.5
ef4f347f-cc08-41b9-b9fa-361b7156497e,OF,OF1036,Mote Islamorada,,G10,R183,8,0
97f01580-70c1-4836-b354-83be9b58b85f,OF,OF1034,Mote Islamorada,,G13,R121,8,0
8770ff22-c429-426e-b03c-e3156a71cffc,AP,AP26,Mote Islamorada,,G2,R298,8,0.5
072c519c-0ee3-4ee5-86cf-73208773c835,RADIANS,SR595,Mote Islamorada,,G15,R96,8,0
eb0d7391-eedf-44fc-8406-c5ec91dd8a04,RADIANS,SR521,Mote Islamorada,,G16,R287,8,0
dff9c850-173e-4fc2-8474-567fd91544b2,SIDEREA,SS106,Mote Islamorada,,G16,R342,8,0.25
66d08e0b-0f1e-441b-a5fa-ee263de05b51,CN,CN63,Mote Islamorada,,G10,R25,8,0
59491a5e-b2b5-4748-aa23-231f0833b0df,DL,DL7,Mote Summerland,All Summerland,G6,R916,8,0.25
88e84de8-0420-49e0-9276-fa312b4b20ee,INTERSEPTA,SI235,Mote Islamorada,,G16,R326,8,0.5
3b2a102d-c552-4edb-a2f8-1cd09f76d635,INTERSEPTA,SI236,Mote Islamorada,,G16,R326,8,0.5
